 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.0452954e+02,  9.2408280e+01,  0.0000000e+00,  4.6582329e+00,  0.0000000e+00,  8.1342228e-01
       1,  1.3162578e+02,  0.0000000e+00,  0.0000000e+00,  8.2166511e-01,  1.1557866e+02,  9.0561729e+00
       2,  5.1467601e+01,  0.0000000e+00,  0.0000000e+00,  7.8570391e-01,  3.7103884e+01,  8.1822140e+00
       3,  4.2187005e+01,  0.0000000e+00,  0.0000000e+00,  7.9296318e-01,  2.7822023e+01,  8.1827504e+00
       4,  3.6602287e+01,  0.0000000e+00,  0.0000000e+00,  7.8404811e-01,  2.2255046e+01,  8.1834509e+00
       5,  3.3122089e+01,  0.0000000e+00,  0.0000000e+00,  7.9025319e-01,  1.8767899e+01,  8.1712415e+00
       6,  3.3108024e+01,  0.0000000e+00,  0.0000000e+00,  7.8243446e-01,  1.8735293e+01,  8.1811682e+00
       7,  3.6968769e+01,  0.0000000e+00,  0.0000000e+00,  7.8258444e-01,  2.2595846e+01,  8.1966573e+00
       8,  3.6911905e+01,  0.0000000e+00,  0.0000000e+00,  7.8375621e-01,  2.2554660e+01,  8.1902915e+00
       9,  3.3547947e+01,  0.0000000e+00,  0.0000000e+00,  7.8307910e-01,  1.9198380e+01,  8.1710280e+00
      10,  3.3729925e+01,  0.0000000e+00,  0.0000000e+00,  7.8349109e-01,  1.9365305e+01,  8.1815114e+00
      11,  3.2518554e+01,  0.0000000e+00,  0.0000000e+00,  7.8774884e-01,  1.8157517e+01,  8.1605168e+00
      12,  3.4906672e+01,  0.0000000e+00,  0.0000000e+00,  7.8278931e-01,  2.0552680e+01,  8.1867639e+00
      13,  5.6622924e+01,  0.0000000e+00,  1.3212322e+01,  5.4224397e+00,  2.4384032e+01,  8.1605882e+00
