iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
1, 5e-05, 369.703, -49.5604, 0.000291793, 287629, 0.227015, -38558, 98227.5, -0.0958112, -8981.18 
2, 0.0001, 126.391, -11.5438, -0.000123269, 98332.5, -0.0959036, -8981.07, 3455.73, 0.0314485, -653.51 
3, 0.00015, 4.51576, -0.833194, 3.99486e-05, 3513.26, 0.03108, -648.224, 514.122, 0.0221776, -182.273 
4, 0.0002, 0.762941, -0.233279, 2.86702e-05, 593.568, 0.0223054, -181.491, 469.093, 0.00590904, -186.284 
5, 0.00025, 0.679754, -0.238145, 7.51247e-06, 528.848, 0.0058447, -185.277, 526.565, 0.00625783, -193.757 
6, 0.0003, 0.741914, -0.247546, 7.93723e-06, 577.209, 0.00617516, -192.591, 573.682, -0.00012105, -195.709 
7, 0.00035, 0.796804, -0.250429, 3.92859e-09, 619.913, 3.05644e-06, -194.834, 607.957, 0.00630488, -197.33 
8, 0.0004, 0.83616, -0.253399, 9.332e-06, 650.532, 0.00726029, -197.145, 629.285, -8.88714e-06, -198.619 
9, 0.00045, 0.862091, -0.255078, -1.09962e-07, 670.706, -8.55502e-05, -198.45, 640.394, 0.0100934, -199.706 
10, 0.0005, 0.87602, -0.25649, 1.3087e-05, 681.544, 0.0101817, -199.549, 644.146, 0.0181941, -200.856 
11, 0.00055, 0.881719, -0.257983, 2.42297e-05, 685.977, 0.0188507, -200.711, 643.304, 0.0129157, -201.755 
12, 0.0006, 0.882464, -0.258988, 1.04415e-05, 686.557, 0.00812349, -201.492, 638.901, 0.0479833, -203.216 
13, 0.00065, 0.878642, -0.260048, 0.000139119, 683.583, 0.108235, -202.318, 631.874, 0.0655845, -203.004 
