iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
49, 0.00245, 0.605505, -0.101927, -1.12452e-05, 471.083, -0.00874875, -79.2994, 410.923, -0.00785572, -79.0721 
50, 0.0025, 0.602474, -0.101158, -1.09143e-05, 468.724, -0.00849131, -78.701, 408.611, -0.00759283, -78.4975 
51, 0.00255, 0.599533, -0.100415, -1.03281e-05, 466.436, -0.00803526, -78.1228, 406.357, -0.00799773, -77.9575 
52, 0.0026, 0.596668, -0.0997138, -1.09642e-05, 464.207, -0.00853013, -77.5773, 404.168, -0.00832113, -77.4534 
53, 0.00265, 0.593897, -0.0990587, -1.14857e-05, 462.052, -0.00893586, -77.0676, 402.042, -0.00789913, -76.9849 
54, 0.0027, 0.591188, -0.0984501, -1.10014e-05, 459.944, -0.00855906, -76.5942, 399.97, -0.00771041, -76.5622 
55, 0.00275, 0.588574, -0.0979023, -1.05365e-05, 457.911, -0.00819737, -76.168, 397.94, -0.00723894, -76.1659 
56, 0.0028, 0.58598, -0.0973902, -9.88164e-06, 455.892, -0.00768791, -75.7695, 395.963, -0.00612627, -75.8103 
57, 0.00285, 0.583453, -0.0969328, -8.68257e-06, 453.926, -0.00675504, -75.4137, 394.031, -0.0065436, -75.4787 
58, 0.0029, 0.580949, -0.0965061, -9.44116e-06, 451.978, -0.00734522, -75.0818, 392.154, -0.00677575, -75.174 
59, 0.00295, 0.578573, -0.0961109, -9.56845e-06, 450.129, -0.00744426, -74.7743, 390.34, -0.00708927, -74.8987 
60, 0.003, 0.57629, -0.095751, -9.78141e-06, 448.353, -0.00760994, -74.4943, 388.585, -0.00660138, -74.6574 
61, 0.00305, 0.5741, -0.0954343, -8.83402e-06, 446.649, -0.00687286, -74.2479, 386.88, -0.00728076, -74.4396 
62, 0.0031, 0.571931, -0.0951479, -9.54189e-06, 444.962, -0.00742359, -74.025, 385.215, -0.00742771, -74.2503 
63, 0.00315, 0.56979, -0.0948991, -9.90324e-06, 443.297, -0.00770472, -73.8315, 383.578, -0.00755597, -74.0916 
64, 0.0032, 0.56761, -0.0946905, -1.06036e-05, 441.6, -0.00824961, -73.6692, 381.986, -0.00789828, -73.9669 
65, 0.00325, 0.56554, -0.0945289, -1.16558e-05, 439.99, -0.00906821, -73.5434, 380.437, -0.00759311, -73.8783 
66, 0.0033, 0.563524, -0.0944146, -1.12242e-05, 438.422, -0.00873239, -73.4545, 378.932, -0.00637819, -73.7984 
67, 0.00335, 0.561582, -0.0943094, -9.30666e-06, 436.911, -0.00724058, -73.3727, 377.471, -0.00537291, -73.7427 
68, 0.0034, 0.559691, -0.0942321, -7.49715e-06, 435.439, -0.00583278, -73.3125, 376.051, -0.00499364, -73.7118 
69, 0.00345, 0.557837, -0.0941856, -6.65276e-06, 433.997, -0.00517585, -73.2764, 374.669, -0.00549261, -73.7043 
70, 0.0035, 0.555983, -0.0941689, -7.07299e-06, 432.555, -0.00550278, -73.2634, 373.317, -0.00675772, -73.7212 
71, 0.00355, 0.554175, -0.0941847, -8.823e-06, 431.148, -0.0068643, -73.2757, 371.99, -0.00796347, -73.7646 
72, 0.0036, 0.552396, -0.0942356, -1.08521e-05, 429.764, -0.00844291, -73.3153, 370.691, -0.00760431, -73.8338 
73, 0.00365, 0.550649, -0.0943219, -1.07448e-05, 428.405, -0.00835949, -73.3824, 369.423, -0.00788701, -73.924 
74, 0.0037, 0.548922, -0.0944366, -1.13866e-05, 427.062, -0.0088588, -73.4717, 368.182, -0.0069939, -74.0253 
75, 0.00375, 0.547193, -0.0945641, -1.00665e-05, 425.716, -0.0078317, -73.5709, 366.971, -0.00626308, -74.1437 
76, 0.0038, 0.545516, -0.0947107, -8.79108e-06, 424.412, -0.00683946, -73.6849, 365.791, -0.0061214, -74.2756 
77, 0.00385, 0.543855, -0.0948728, -8.42153e-06, 423.119, -0.00655195, -73.8111, 364.644, -0.00590171, -74.4322 
78, 0.0039, 0.542247, -0.0950677, -7.82818e-06, 421.868, -0.00609032, -73.9626, 363.522, -0.00520286, -74.609 
79, 0.00395, 0.540655, -0.0952893, -6.74691e-06, 420.629, -0.00524909, -74.135, 362.421, -0.0060418, -74.8082 
80, 0.004, 0.539084, -0.0955401, -7.62589e-06, 419.407, -0.00593294, -74.3302, 361.343, -0.00628687, -75.0317 
81, 0.00405, 0.537529, -0.0958235, -8.11054e-06, 418.198, -0.00631, -74.5507, 360.284, -0.00827734, -75.2713 
82, 0.0041, 0.535949, -0.0961287, -1.12606e-05, 416.968, -0.00876072, -74.7881, 359.255, -0.0087328, -75.5377 
83, 0.00415, 0.534366, -0.0964678, -1.21151e-05, 415.737, -0.00942552, -75.0519, 358.256, -0.00874498, -75.8233 
84, 0.0042, 0.532869, -0.09683, -1.2341e-05, 414.572, -0.00960129, -75.3337, 357.28, -0.0082652, -76.1253 
85, 0.00425, 0.5314, -0.0972111, -1.15413e-05, 413.429, -0.0089791, -75.6302, 356.324, -0.00723651, -76.4529 
86, 0.0043, 0.529968, -0.0976257, -9.6884e-06, 412.315, -0.00753757, -75.9528, 355.39, -0.00654853, -76.8046 
87, 0.00435, 0.528563, -0.0980725, -8.45131e-06, 411.222, -0.00657512, -76.3004, 354.471, -0.00755467, -77.179 
88, 0.0044, 0.527134, -0.0985491, -9.57083e-06, 410.11, -0.00744611, -76.6712, 353.571, -0.00838096, -77.5768 
89, 0.00445, 0.525765, -0.0990571, -1.09964e-05, 409.045, -0.00855523, -77.0664, 352.69, -0.00946914, -77.9966 
90, 0.0045, 0.524408, -0.0995944, -1.28815e-05, 407.989, -0.0100218, -77.4844, 351.828, -0.00982129, -78.4359 
91, 0.00455, 0.52307, -0.100157, -1.34698e-05, 406.948, -0.0104795, -77.9218, 350.989, -0.00934751, -78.8879 
92, 0.0046, 0.521776, -0.100733, -1.24746e-05, 405.942, -0.0097052, -78.3706, 350.163, -0.00840421, -79.3503 
93, 0.00465, 0.520486, -0.101321, -1.09039e-05, 404.938, -0.00848322, -78.8278, 349.357, -0.00846749, -79.8281 
94, 0.0047, 0.519218, -0.101929, -1.12664e-05, 403.952, -0.00876523, -79.3004, 348.565, -0.00895233, -80.324 
95, 0.00475, 0.517958, -0.10256, -1.25594e-05, 402.971, -0.00977118, -79.792, 347.786, -0.00903302, -80.8392 
96, 0.0048, 0.516717, -0.103219, -1.30189e-05, 402.006, -0.0101287, -80.3042, 347.016, -0.0093863, -81.366 
97, 0.00485, 0.515444, -0.103892, -1.32202e-05, 401.015, -0.0102853, -80.8283, 346.257, -0.00895178, -81.9092 
98, 0.0049, 0.514189, -0.104588, -1.19613e-05, 400.039, -0.00930586, -81.3694, 345.523, -0.00865415, -82.4644 
99, 0.00495, 0.512995, -0.1053, -1.10222e-05, 399.11, -0.00857525, -81.9233, 344.802, -0.00837295, -83.0337 
100, 0.005, 0.511829, -0.106028, -1.02192e-05, 398.203, -0.0079505, -82.4899, 344.098, -0.00837322, -83.6062 
101, 0.00505, 0.510684, -0.106758, -1.04929e-05, 397.312, -0.00816348, -83.0578, 343.409, -0.00924169, -84.1874 
102, 0.0051, 0.509561, -0.107498, -1.2262e-05, 396.439, -0.00953983, -83.6337, 342.731, -0.0106563, -84.7793 
103, 0.00515, 0.508454, -0.108254, -1.53795e-05, 395.577, -0.0119653, -84.2212, 342.06, -0.0114604, -85.3794 
104, 0.0052, 0.507316, -0.10902, -1.73824e-05, 394.692, -0.0135235, -84.8175, 341.373, -0.0106138, -86.0017 
105, 0.00525, 0.506196, -0.109817, -1.61434e-05, 393.82, -0.0125596, -85.4376, 340.729, -0.00837587, -86.6279 
106, 0.0053, 0.505119, -0.11062, -1.18258e-05, 392.983, -0.00920044, -86.0624, 340.106, -0.00692121, -87.2606 
107, 0.00535, 0.504091, -0.111432, -8.69804e-06, 392.183, -0.00676708, -86.6942, 339.497, -0.00622962, -87.8957 
108, 0.0054, 0.50307, -0.112246, -7.09189e-06, 391.388, -0.00551749, -87.3273, 338.901, -0.00716144, -88.5379 
109, 0.00545, 0.502074, -0.113066, -8.54666e-06, 390.614, -0.0066493, -87.9656, 338.318, -0.00910969, -89.1813 
110, 0.0055, 0.501081, -0.113887, -1.18936e-05, 389.841, -0.00925322, -88.6039, 337.742, -0.0102168, -89.8319 
111, 0.00555, 0.500105, -0.114717, -1.44064e-05, 389.081, -0.0112082, -89.25, 337.174, -0.0113677, -90.4885 
112, 0.0056, 0.499129, -0.115556, -1.66089e-05, 388.322, -0.0129217, -89.9028, 336.614, -0.0105343, -91.1543 
113, 0.00565, 0.498174, -0.116409, -1.56178e-05, 387.579, -0.0121506, -90.5659, 336.062, -0.00906071, -91.8278 
114, 0.0057, 0.497227, -0.117273, -1.31339e-05, 386.843, -0.0102182, -91.238, 335.525, -0.00793404, -92.5024 
