t, velocity, pressure, k, omega, wall_distance
 5.0000000e-05,  4.8553234e+02,  2.0000000e+04,  1.9977501e+04,  1.9999958e+04,  2.0000000e+04
 1.0000000e-04,  4.3007024e+01,  1.3729037e+06,  7.1554144e+04,  1.8132640e+04,  2.0000000e+04
 1.5000000e-04,  2.3235181e+01,  1.4954707e+05,  4.0713469e+04,  1.6403069e+04,  2.0000000e+04
 2.0000000e-04,  1.8213372e+01,  4.5591684e+03,  2.4558828e+04,  1.3456902e+04,  2.0000000e+04
 2.5000000e-04,  2.7792160e+01,  1.3359852e+03,  1.6010704e+04,  9.2693952e+03,  2.0000000e+04
 3.0000000e-04,  1.3261767e+02,  7.6702554e+03,  1.4922154e+04,  5.5422047e+03,  2.0000000e+04
 3.5000000e-04,  1.4616557e+03,  2.1422932e+04,  1.9655409e+04,  4.1746030e+03,  2.0000000e+04
