iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
1, 5e-05, 369.703, -49.5604, 0.000291793, 287629, 0.227015, -38558, 98227.5, -0.0958112, -8981.18 
2, 0.0001, 126.391, -11.5438, -0.000123269, 98332.5, -0.0959036, -8981.07, 3417.95, 0.0296463, -648.265 
3, 0.00015, 4.46693, -0.826464, 3.74168e-05, 3475.27, 0.0291103, -642.989, 474.011, 0.0277403, -175.417 
4, 0.0002, 0.706441, -0.223946, 3.56161e-05, 549.611, 0.0277093, -174.23, 418.844, 0.00161739, -179.114 
5, 0.00025, 0.617111, -0.229793, 2.10328e-06, 480.112, 0.00163635, -178.779, 493.352, -0.0305045, -196.09 
6, 0.0003, 0.653789, -0.252577, -3.93345e-05, 508.648, -0.0306023, -196.505, 560.688, 0.466805, -172.417 
7, 0.00035, 1.04299, -0.222293, 0.000656922, 811.444, 0.511085, -172.944, -1152.79, 1.43801, -457.284 
