 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.0727622e+02,  9.4830033e+01,  0.0000000e+00,  4.6007427e+00,  0.0000000e+00,  8.1535119e-01
       1,  1.3478718e+02,  0.0000000e+00,  0.0000000e+00,  8.2109055e-01,  1.1873857e+02,  9.0287453e+00
       2,  5.3317666e+01,  0.0000000e+00,  0.0000000e+00,  7.8469349e-01,  3.8977987e+01,  8.1627752e+00
       3,  4.4595130e+01,  0.0000000e+00,  0.0000000e+00,  7.8849085e-01,  3.0265816e+01,  8.1784273e+00
       4,  4.0530935e+01,  0.0000000e+00,  0.0000000e+00,  8.1597085e-01,  2.6148238e+01,  8.1557154e+00
       5,  3.7844416e+01,  0.0000000e+00,  0.0000000e+00,  7.9023200e-01,  2.3525086e+01,  8.1827721e+00
       6,  4.6729335e+01,  0.0000000e+00,  0.0000000e+00,  7.8394918e-01,  3.2390021e+01,  8.1976696e+00
       7,  8.3408952e+01,  0.0000000e+00,  1.3209711e+01,  5.6531497e+00,  5.0962068e+01,  8.1959024e+00
