iteration, time, yplus_min, yplus_max, yplus_max_pos_x, yplus_max_pos_y, yplus_max_pos_z, yplus_prom 
1, 5e-05, 4.11878e-07, 75.7693, -1.83883, -0.16096, 0.450779, 5.39599 
2, 0.0001, 0.164028, 76.7384, -1.83883, -0.16096, 0.450779, 1.64209 
3, 0.00015, 0.0640181, 76.4875, -1.83883, -0.16096, 0.450779, 1.65323 
4, 0.0002, 0.0306028, 76.0884, -1.83883, -0.16096, 0.450779, 1.48169 
5, 0.00025, 0.0334798, 75.8293, -1.83883, -0.16096, 0.450779, 1.24894 
6, 0.0003, 0.0371182, 75.6247, -1.83883, -0.16096, 0.450779, 1.14969 
7, 0.00035, 0.0276962, 75.4925, -1.83883, -0.16096, 0.450779, 1.09413 
8, 0.0004, 0.0271403, 75.4521, -1.83883, -0.16096, 0.450779, 1.06402 
9, 0.00045, 0.0210746, 75.3798, -1.83883, -0.16096, 0.450779, 1.04956 
10, 0.0005, 0.0164042, 75.3798, -1.83883, -0.16096, 0.450779, 1.04686 
11, 0.00055, 0.00997909, 75.344, -1.83883, -0.16096, 0.450779, 1.05348 
12, 0.0006, 0.01721, 75.3774, -1.83883, -0.16096, 0.450779, 1.06668 
13, 0.00065, 0.0203304, 75.3529, -1.83883, -0.16096, 0.450779, 1.08381 
14, 0.0007, 0.0180626, 75.3852, -1.83883, -0.16096, 0.450779, 1.10205 
15, 0.00075, 0.0226659, 75.3606, -1.83883, -0.16096, 0.450779, 1.12124 
