 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.0501157e+02,  9.2565290e+01,  0.0000000e+00,  4.6385348e+00,  0.0000000e+00,  7.5975982e-01
       1,  1.3056774e+02,  0.0000000e+00,  0.0000000e+00,  8.0391676e-01,  1.1577883e+02,  8.4253088e+00
       2,  4.5544398e+01,  0.0000000e+00,  0.0000000e+00,  7.5275784e-01,  3.2385987e+01,  7.5953167e+00
       3,  3.7307717e+01,  0.0000000e+00,  0.0000000e+00,  7.6130496e-01,  2.4180438e+01,  7.5856137e+00
       4,  3.2824670e+01,  0.0000000e+00,  0.0000000e+00,  7.5989626e-01,  1.9690090e+01,  7.6030705e+00
       5,  3.0744245e+01,  0.0000000e+00,  0.0000000e+00,  7.5603625e-01,  1.7630351e+01,  7.5771711e+00
       6,  3.1461022e+01,  0.0000000e+00,  0.0000000e+00,  7.6704991e-01,  1.8333124e+01,  7.5746129e+00
       7,  3.2684711e+01,  0.0000000e+00,  0.0000000e+00,  7.6349376e-01,  1.9525139e+01,  7.6074980e+00
       8,  3.1256248e+01,  0.0000000e+00,  0.0000000e+00,  7.5575648e-01,  1.8128272e+01,  7.6055229e+00
       9,  3.0594444e+01,  0.0000000e+00,  0.0000000e+00,  7.5436120e-01,  1.7455331e+01,  7.6026938e+00
      10,  3.0106770e+01,  0.0000000e+00,  0.0000000e+00,  7.5745422e-01,  1.6927624e+01,  7.6086079e+00
      11,  2.9689674e+01,  0.0000000e+00,  0.0000000e+00,  7.5571202e-01,  1.6443135e+01,  7.5850890e+00
      12,  2.9388243e+01,  0.0000000e+00,  0.0000000e+00,  7.6219654e-01,  1.6221055e+01,  7.6063109e+00
      13,  2.8685942e+01,  0.0000000e+00,  0.0000000e+00,  7.6431467e-01,  1.5504241e+01,  7.5968423e+00
      14,  2.8706458e+01,  0.0000000e+00,  0.0000000e+00,  7.7093393e-01,  1.5541985e+01,  7.6042049e+00
      15,  5.4625174e+01,  0.0000000e+00,  1.3883232e+01,  5.5310054e+00,  2.2759857e+01,  7.6325400e+00
