iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
1, 5e-05, 369.703, -49.5604, 0.000291793, 287629, 0.227015, -38558, 98227.5, -0.0958112, -8981.18 
2, 0.0001, 126.391, -11.5438, -0.000123269, 98332.5, -0.0959036, -8981.07, 3444.37, 0.030428, -651.944 
3, 0.00015, 4.50111, -0.831183, 3.86567e-05, 3501.87, 0.0300749, -646.66, 501.465, 0.0231608, -180.66 
4, 0.0002, 0.746355, -0.231165, 2.99355e-05, 580.664, 0.0232898, -179.846, 457.977, 0.00368006, -184.533 
5, 0.00025, 0.66543, -0.235869, 4.60061e-06, 517.704, 0.00357927, -183.506, 517.838, 0.0042277, -191.932 
6, 0.0003, 0.730899, -0.245173, 5.60975e-06, 568.64, 0.00436439, -190.744, 566.709, -0.001987, -194.026 
7, 0.00035, 0.787728, -0.248193, -2.70354e-06, 612.852, -0.00210335, -193.094, 602.758, -7.93912e-05, -195.864 
8, 0.0004, 0.829288, -0.251549, 3.11521e-06, 645.186, 0.00242363, -195.705, 625.057, -0.0281378, -197.135 
9, 0.00045, 0.856397, -0.253152, -3.36529e-05, 666.277, -0.0261819, -196.952, 637.139, 0.421988, -198.133 
10, 0.0005, 0.873021, -0.25445, 0.000531257, 679.21, 0.413318, -197.962, 641.419, 1.33793, -199.214 
