iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
1, 5e-05, 369.704, -49.5611, 0.000271239, 287629, 0.211024, -38558.6, 98125.7, 0.0792146, -8862.06 
2, 0.0001, 126.261, -11.3907, 0.000101795, 98230.7, 0.0791964, -8861.96, 3445.6, 0.0263605, -632.607 
3, 0.00015, 4.50288, -0.806319, 3.37639e-05, 3503.24, 0.0262683, -627.316, 596.366, 0.0167548, -135.806 
4, 0.0002, 0.870672, -0.173602, 2.14383e-05, 677.383, 0.016679, -135.062, 530.815, 0.0159535, -144.206 
5, 0.00025, 0.760268, -0.185025, 2.04127e-05, 591.489, 0.0158811, -143.949, 574.131, 0.00936436, -148.976 
6, 0.0003, 0.802983, -0.191224, 1.18917e-05, 624.721, 0.00925171, -148.772, 606.637, 0.00710574, -147.759 
7, 0.00035, 0.838263, -0.189688, 8.85587e-06, 652.169, 0.00688987, -147.577, 628.181, -0.000701374, -144.627 
8, 0.0004, 0.862533, -0.185682, -1.22649e-06, 671.05, -0.000954207, -144.461, 640.367, -0.000945458, -141.164 
9, 0.00045, 0.876708, -0.181244, -1.43622e-06, 682.079, -0.00111738, -141.008, 645.397, -0.0023134, -137.749 
10, 0.0005, 0.883039, -0.176859, -3.12265e-06, 687.004, -0.00242942, -137.596, 645.018, -0.00499648, -134.375 
11, 0.00055, 0.883478, -0.172522, -6.75091e-06, 687.346, -0.0052522, -134.222, 640.761, -0.00672724, -131.058 
12, 0.0006, 0.879739, -0.168257, -9.10506e-06, 684.437, -0.00708374, -130.904, 633.934, -0.00898948, -127.662 
13, 0.00065, 0.87332, -0.163894, -1.19739e-05, 679.443, -0.00931567, -127.51, 625.619, -0.00732404, -124.241 
14, 0.0007, 0.865596, -0.159525, -9.43133e-06, 673.434, -0.00733757, -124.111, 616.068, -0.00801151, -120.83 
15, 0.00075, 0.855952, -0.155167, -1.00197e-05, 665.93, -0.00779534, -120.72, 606.044, -0.00791197, -117.437 
16, 0.0008, 0.845391, -0.150813, -9.95661e-06, 657.714, -0.00774624, -117.332, 595.896, -0.00848299, -113.96 
17, 0.00085, 0.834435, -0.146314, -1.12194e-05, 649.19, -0.00872872, -113.832, 586.104, -0.00745895, -110.419 
18, 0.0009, 0.823728, -0.141711, -1.0326e-05, 640.86, -0.00803364, -110.251, 576.665, -0.00709238, -106.942 
19, 0.00095, 0.813282, -0.137196, -9.99836e-06, 632.733, -0.00777872, -106.738, 567.679, -0.00400565, -103.515 
20, 0.001, 0.803196, -0.132755, -5.92467e-06, 624.887, -0.00460939, -103.283, 559.094, -0.00329944, -100.146 
21, 0.00105, 0.793381, -0.128399, -4.89536e-06, 617.25, -0.00380859, -99.8943, 550.82, -0.00164422, -96.8525 
22, 0.0011, 0.783733, -0.124152, -2.40092e-06, 609.744, -0.00186791, -96.5902, 542.796, 7.41586e-05, -93.624 
23, 0.00115, 0.774168, -0.120002, 3.30752e-07, 602.303, 0.000257325, -93.3616, 535.099, 0.000816595, -90.4426 
24, 0.0012, 0.764794, -0.115918, 1.27628e-06, 595.009, 0.000992944, -90.1838, 527.652, 0.00141327, -87.2651 
25, 0.00125, 0.755548, -0.111824, 1.78295e-06, 587.816, 0.00138714, -86.9992, 520.461, 0.00160931, -84.0777 
26, 0.0013, 0.746497, -0.107696, 1.66219e-06, 580.774, 0.00129318, -83.7876, 513.727, 0.0021181, -80.9582 
27, 0.00135, 0.737994, -0.103657, 1.88513e-06, 574.16, 0.00146663, -80.6449, 507.405, 0.00249543, -77.9363 
28, 0.0014, 0.730025, -0.0997519, 2.34418e-06, 567.959, 0.00182377, -77.607, 501.425, 0.00241728, -74.9914 
29, 0.00145, 0.722492, -0.0959532, 2.41222e-06, 562.099, 0.00187671, -74.6516, 495.651, 0.00397469, -72.1096 
30, 0.0015, 0.715241, -0.0922454, 5.07443e-06, 556.458, 0.00394791, -71.7669, 490.016, 0.00578712, -69.2795 
31, 0.00155, 0.708157, -0.0886127, 8.2034e-06, 550.946, 0.00638224, -68.9407, 484.59, 0.00647416, -66.4845 
32, 0.0016, 0.70135, -0.0850269, 9.19628e-06, 545.65, 0.0071547, -66.1509, 479.303, 0.00667135, -63.6752 
33, 0.00165, 0.694711, -0.0814106, 9.23103e-06, 540.485, 0.00718174, -63.3374, 474.135, 0.00443111, -60.8682 
34, 0.0017, 0.688267, -0.0777857, 5.4932e-06, 535.472, 0.00427371, -60.5173, 469.116, 0.00217352, -58.0929 
35, 0.00175, 0.682059, -0.074202, 1.52712e-06, 530.642, 0.0011881, -57.7291, 464.223, 0.00172694, -55.3659 
