 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.0597701e+02,  9.3718762e+01,  0.0000000e+00,  4.7561605e+00,  0.0000000e+00,  8.1538482e-01
       1,  1.3094421e+02,  0.0000000e+00,  0.0000000e+00,  8.1514889e-01,  1.1490202e+02,  9.0403036e+00
       2,  5.0760951e+01,  0.0000000e+00,  0.0000000e+00,  7.7406625e-01,  3.6419218e+01,  8.1824267e+00
       3,  4.1753555e+01,  0.0000000e+00,  0.0000000e+00,  7.7731628e-01,  2.7401291e+01,  8.1892199e+00
       4,  3.5978283e+01,  0.0000000e+00,  0.0000000e+00,  7.7816897e-01,  2.1648582e+01,  8.1641483e+00
       5,  3.3239712e+01,  0.0000000e+00,  0.0000000e+00,  7.7978159e-01,  1.8917292e+01,  8.1844687e+00
       6,  3.5119910e+01,  0.0000000e+00,  0.0000000e+00,  7.7585017e-01,  2.0797076e+01,  8.1754418e+00
       7,  3.7891641e+01,  0.0000000e+00,  0.0000000e+00,  7.8522447e-01,  2.3577279e+01,  8.1535228e+00
       8,  3.9648509e+01,  0.0000000e+00,  0.0000000e+00,  7.7941494e-01,  2.5348467e+01,  8.1535424e+00
       9,  4.1320214e+01,  0.0000000e+00,  0.0000000e+00,  7.7899037e-01,  2.7033564e+01,  8.1414699e+00
      10,  6.3800679e+01,  0.0000000e+00,  1.2877381e+01,  5.6195315e+00,  3.1744722e+01,  8.1646839e+00
