iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
1, 5e-05, 369.703, -49.5604, 0.000291793, 287629, 0.227015, -38558, 98227.5, -0.0958112, -8981.18 
2, 0.0001, 126.391, -11.5438, -0.000123269, 98332.5, -0.0959036, -8981.07, 3433.01, 0.0295783, -650.378 
3, 0.00015, 4.48647, -0.829173, 3.75849e-05, 3490.47, 0.0292411, -645.096, 488.898, 0.0228492, -179.038 
4, 0.0002, 0.729894, -0.229034, 2.95504e-05, 567.858, 0.0229902, -178.188, 446.079, -0.00181489, -183.032 
5, 0.00025, 0.650286, -0.234218, -2.44665e-06, 505.922, -0.0019035, -182.221, 509.108, 0.00886442, -188.411 
6, 0.0003, 0.720838, -0.24072, 1.11142e-05, 560.812, 0.00864687, -187.28, 560.833, -0.0027696, -190.61 
7, 0.00035, 0.780593, -0.243674, -3.87545e-06, 607.301, -0.0030151, -189.578, 599.23, 0.00949726, -192.781 
8, 0.0004, 0.824746, -0.247545, 1.20783e-05, 641.652, 0.00939689, -192.59, 622.716, -0.00601776, -193.857 
9, 0.00045, 0.852579, -0.248788, -9.7057e-06, 663.306, -0.00755103, -193.557, 635.581, 0.0471506, -195.29 
10, 0.0005, 0.870457, -0.250715, 7.09908e-05, 677.216, 0.0552308, -195.057, 636.428, -0.0171153, -205.745 
