t, velocity, pressure, k, omega, wall_distance
 5.0000000e-05,  4.8553234e+02,  2.0000000e+04,  1.9977501e+04,  1.9999958e+04,  2.0000000e+04
 1.0000000e-04,  4.3074054e+01,  1.3715196e+06,  7.1554142e+04,  1.8132641e+04,  2.0000000e+04
 1.5000000e-04,  2.2773850e+01,  1.4838784e+05,  4.0713395e+04,  1.6403081e+04,  2.0000000e+04
 2.0000000e-04,  1.7655626e+01,  4.5461040e+03,  2.4554033e+04,  1.3456812e+04,  2.0000000e+04
 2.5000000e-04,  1.5325856e+01,  1.2370881e+03,  1.6021229e+04,  9.2679232e+03,  2.0000000e+04
 3.0000000e-04,  1.4335937e+01,  9.1789961e+02,  1.1921240e+04,  5.5306344e+03,  2.0000000e+04
 3.5000000e-04,  1.3867265e+01,  8.1481123e+02,  2.4813726e+04,  4.4614063e+03,  2.0000000e+04
 4.0000000e-04,  1.3851105e+01,  7.3563722e+02,  1.3025808e+04,  3.0680382e+03,  2.0000000e+04
 4.5000000e-04,  1.6043798e+01,  7.1567916e+02,  1.5115685e+04,  2.3529301e+03,  2.0000000e+04
 5.0000000e-04,  5.7640073e+01,  7.7021841e+02,  1.3943599e+04,  2.5791725e+03,  2.0000000e+04
