iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
51, 0.00255, 0.735894, -0.221176, -1.86399e-05, 572.525, -0.0145019, -172.075, 509.089, -0.0275029, -172.047 
52, 0.0026, 0.73282, -0.220526, -6.06265e-05, 570.134, -0.0471674, -171.569, 506.873, -0.0887437, -171.556 
53, 0.00265, 0.729909, -0.219875, -0.00014228, 567.869, -0.110694, -171.063, 504.745, -0.142372, -171.011 
54, 0.0027, 0.726523, -0.219145, -0.000192423, 565.235, -0.149705, -170.495, 502.589, -0.145676, -170.446 
55, 0.00275, 0.723415, -0.218413, -0.000165471, 562.817, -0.128736, -169.925, 500.469, -0.0801124, -169.885 
56, 0.0028, 0.720629, -0.217705, -6.22785e-05, 560.649, -0.0484527, -169.375, 498.413, 0.0110467, -169.326 
57, 0.00285, 0.717713, -0.21699, 4.35124e-05, 558.38, 0.0338526, -168.818, 496.407, 0.0224208, -168.789 
58, 0.0029, 0.714767, -0.216287, 4.35301e-05, 556.089, 0.0338664, -168.271, 494.445, 0.00638179, -168.233 
59, 0.00295, 0.71215, -0.215558, -1.31273e-05, 554.052, -0.010213, -167.704, 492.508, -0.0860807, -167.663 
60, 0.003, 0.709394, -0.214823, -0.000126522, 551.909, -0.0984339, -167.133, 490.641, -0.127267, -167.065 
61, 0.00305, 0.706845, -0.214028, -0.000157657, 549.925, -0.122657, -166.514, 488.812, -0.116068, -166.429 
62, 0.0031, 0.704229, -0.213224, -0.00013221, 547.89, -0.102859, -165.888, 486.977, -0.0770627, -165.85 
63, 0.00315, 0.701668, -0.212492, -9.11063e-05, 545.898, -0.0708807, -165.318, 485.172, -0.0754117, -165.274 
64, 0.0032, 0.698642, -0.211743, -9.15892e-05, 543.544, -0.0712564, -164.736, 483.332, -0.0792783, -164.648 
65, 0.00325, 0.695971, -0.21095, -0.000109682, 541.465, -0.0853325, -164.119, 481.496, -0.0861435, -164.04 
66, 0.0033, 0.693247, -0.210155, -0.000104747, 539.346, -0.0814932, -163.501, 479.688, -0.0964082, -163.366 
67, 0.00335, 0.690333, -0.209258, -0.000133676, 537.079, -0.104, -162.802, 477.889, -0.109568, -162.654 
68, 0.0034, 0.687648, -0.208333, -0.000152177, 534.99, -0.118394, -162.083, 476.111, -0.104409, -161.926 
69, 0.00345, 0.684978, -0.207405, -0.000132422, 532.913, -0.103024, -161.361, 474.339, -0.103578, -161.216 
70, 0.0035, 0.682457, -0.206498, -0.000126645, 530.951, -0.0985297, -160.655, 472.539, -0.0842839, -160.503 
71, 0.00355, 0.679987, -0.205585, -8.75002e-05, 529.03, -0.0680751, -159.945, 470.762, -0.0410491, -159.805 
72, 0.0036, 0.677246, -0.204683, -2.93048e-05, 526.897, -0.0227991, -159.243, 468.969, -0.00319449, -159.05 
73, 0.00365, 0.674527, -0.203708, -3.07408e-06, 524.782, -0.00239163, -158.485, 467.174, -0.0123298, -158.271 
74, 0.0037, 0.671675, -0.202683, -1.55063e-05, 522.563, -0.0120639, -157.688, 465.375, -0.0111334, -157.473 
75, 0.00375, 0.669185, -0.201643, -3.53881e-05, 520.626, -0.0275319, -156.878, 463.607, -0.0526385, -156.659 
76, 0.0038, 0.666517, -0.200594, -9.08383e-05, 518.55, -0.0706722, -156.062, 461.817, -0.0950958, -155.862 
77, 0.00385, 0.663687, -0.199563, -0.000130598, 516.349, -0.101605, -155.26, 459.987, -0.107977, -155.095 
78, 0.0039, 0.661017, -0.198566, -0.000124024, 514.271, -0.0964908, -154.484, 458.171, -0.0669739, -154.307 
79, 0.00395, 0.65846, -0.197557, -7.43565e-05, 512.282, -0.0578493, -153.699, 456.368, -0.0398303, -153.529 
80, 0.004, 0.655787, -0.19656, -3.39097e-05, 510.202, -0.0263817, -152.924, 454.572, -0.019181, -152.753 
81, 0.00405, 0.653322, -0.195559, -4.04089e-06, 508.285, -0.00314381, -152.145, 452.797, 0.000600744, -151.97 
82, 0.0041, 0.650569, -0.194535, 6.80071e-06, 506.142, 0.00529095, -151.348, 450.997, -0.0186102, -151.184 
