 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.0422631e+02,  9.2352192e+01,  0.0000000e+00,  4.6314942e+00,  0.0000000e+00,  8.1353619e-01
       1,  1.3220310e+02,  0.0000000e+00,  0.0000000e+00,  8.2496183e-01,  1.1615155e+02,  9.0598269e+00
       2,  5.2506562e+01,  0.0000000e+00,  0.0000000e+00,  7.9119816e-01,  3.8178677e+01,  8.1665973e+00
       3,  4.2479621e+01,  0.0000000e+00,  0.0000000e+00,  7.9179445e-01,  2.8157006e+01,  8.1736860e+00
       4,  3.7272217e+01,  0.0000000e+00,  0.0000000e+00,  7.8487849e-01,  2.2923068e+01,  8.1858437e+00
       5,  3.3540679e+01,  0.0000000e+00,  0.0000000e+00,  7.8486702e-01,  1.9175173e+01,  8.1799963e+00
       6,  3.2900017e+01,  0.0000000e+00,  0.0000000e+00,  7.8388426e-01,  1.8556537e+01,  8.1724336e+00
       7,  3.7755177e+01,  0.0000000e+00,  0.0000000e+00,  7.8572340e-01,  2.3389058e+01,  8.1812811e+00
       8,  3.5454753e+01,  0.0000000e+00,  0.0000000e+00,  7.8370970e-01,  2.1118886e+01,  8.1621506e+00
       9,  3.4268949e+01,  0.0000000e+00,  0.0000000e+00,  7.8323110e-01,  1.9908250e+01,  8.1800990e+00
      10,  3.4078633e+01,  0.0000000e+00,  0.0000000e+00,  7.7941600e-01,  1.9704689e+01,  8.1727698e+00
      11,  3.2400565e+01,  0.0000000e+00,  0.0000000e+00,  7.8308629e-01,  1.8061942e+01,  8.1720007e+00
      12,  3.1776321e+01,  0.0000000e+00,  0.0000000e+00,  7.8314520e-01,  1.7437752e+01,  8.1942455e+00
      13,  3.0556602e+01,  0.0000000e+00,  0.0000000e+00,  7.8347538e-01,  1.6195630e+01,  8.1836499e+00
      14,  3.2686192e+01,  0.0000000e+00,  0.0000000e+00,  7.8178079e-01,  1.8324759e+01,  8.1768207e+00
      15,  3.2931559e+01,  0.0000000e+00,  0.0000000e+00,  7.8328048e-01,  1.8578052e+01,  8.1778058e+00
      16,  3.1639358e+01,  0.0000000e+00,  0.0000000e+00,  8.0901449e-01,  1.7227806e+01,  8.1900333e+00
      17,  3.4119415e+01,  0.0000000e+00,  0.0000000e+00,  7.8540040e-01,  1.9763083e+01,  8.1767977e+00
      18,  5.8281828e+01,  0.0000000e+00,  1.2668724e+01,  5.1469976e+00,  2.6830803e+01,  8.1776809e+00
