iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
1, 5e-05, 369.703, -49.5604, 0.000291793, 287629, 0.227015, -38558, 98227.5, -0.0958112, -8981.18 
2, 0.0001, 126.391, -11.5438, -0.000123269, 98332.5, -0.0959036, -8981.07, 3477.31, 0.033415, -656.486 
3, 0.00015, 4.54357, -0.837013, 4.24457e-05, 3534.9, 0.0330228, -651.196, 538.592, 0.0227391, -185.237 
4, 0.0002, 0.795272, -0.237143, 2.93152e-05, 618.721, 0.0228072, -184.497, 489.786, 0.00497482, -189.946 
5, 0.00025, 0.707082, -0.243037, 1.02428e-05, 550.109, 0.00796891, -189.083, 543.029, 0.00794083, -197.383 
6, 0.0003, 0.763977, -0.252392, 1.58621e-05, 594.374, 0.0123407, -196.361, 587.151, 0.00625689, -199.485 
7, 0.00035, 0.81484, -0.255443, 1.14448e-05, 633.946, 0.00890405, -198.734, 618.918, 0.000740335, -200.809 
8, 0.0004, 0.850423, -0.257887, 8.94601e-07, 661.629, 0.000696, -200.636, 638.471, -0.00124965, -201.752 
9, 0.00045, 0.873966, -0.259113, -1.63547e-06, 679.945, -0.0012724, -201.59, 648.513, 0.000851268, -202.558 
10, 0.0005, 0.886679, -0.260168, 1.1601e-06, 689.836, 0.000902561, -202.411, 651.928, 0.00247566, -203.482 
11, 0.00055, 0.892083, -0.261401, 2.1304e-06, 694.04, 0.00165745, -203.37, 650.876, -0.00298833, -204.106 
12, 0.0006, 0.892545, -0.262189, -6.90778e-06, 694.4, -0.00537425, -203.983, 646.765, -0.00242547, -204.927 
13, 0.00065, 0.889497, -0.263272, -6.95073e-06, 692.028, -0.00540766, -204.826, 640.671, -0.00300297, -205.457 
14, 0.0007, 0.884228, -0.26394, -4.60821e-06, 687.929, -0.00358519, -205.346, 633.78, -0.000187735, -205.909 
15, 0.00075, 0.877985, -0.264535, 7.46991e-07, 683.072, 0.000581159, -205.808, 626.737, 0.0142269, -206.259 
16, 0.0008, 0.871342, -0.264956, 1.7539e-05, 677.904, 0.0136453, -206.136, 619.738, 0.021798, -206.345 
17, 0.00085, 0.864859, -0.264969, 2.03671e-05, 672.86, 0.0158456, -206.146, 612.997, -0.00501741, -206.108 
18, 0.0009, 0.858807, -0.264573, -5.07661e-06, 668.152, -0.0039496, -205.838, 606.706, 0.0073005, -205.728 
19, 0.00095, 0.853272, -0.263996, 1.4644e-05, 663.845, 0.0113931, -205.389, 600.843, 0.044624, -205.245 
20, 0.001, 0.848009, -0.263442, 5.28501e-05, 659.751, 0.0411174, -204.958, 595.443, 0.0581903, -204.939 
21, 0.00105, 0.843126, -0.263065, 2.82201e-05, 655.952, 0.0219552, -204.664, 590.549, 0.00647939, -204.69 
22, 0.0011, 0.838779, -0.262787, -4.97315e-05, 652.57, -0.0386911, -204.448, 586.186, 0.0341041, -204.654 
23, 0.00115, 0.834269, -0.26278, 3.41307e-05, 649.061, 0.0265537, -204.443, 582.35, 0.0682912, -204.2 
24, 0.0012, 0.830552, -0.262137, 8.1885e-05, 646.169, 0.0637065, -203.943, 578.921, 0.175285, -204.575 
25, 0.00125, 0.826178, -0.2627, 0.000201891, 642.766, 0.157071, -204.38, 575.827, 0.298754, -204.144 
