iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
1, 5e-05, 369.703, -49.5604, 0.000291832, 287629, 0.227045, -38558, 98246.6, 0.104461, -8981.09 
2, 0.0001, 126.416, -11.5437, 0.000134228, 98351.5, 0.104429, -8980.98, 3592.11, 0.0290996, -663.04 
3, 0.00015, 4.69139, -0.845421, 3.71061e-05, 3649.9, 0.0288686, -657.738, 636.061, 0.0151243, -190.487 
4, 0.0002, 0.921857, -0.243891, 1.90922e-05, 717.205, 0.0148537, -189.747, 574.563, 0.00287415, -197.334 
5, 0.00025, 0.816541, -0.253304, 3.52173e-06, 635.269, 0.0027399, -197.071, 618.565, 0.00859911, -205.233 
6, 0.0003, 0.860041, -0.26353, 1.08039e-05, 669.112, 0.00840543, -205.026, 652.423, 0.00779577, -207.537 
7, 0.00035, 0.897014, -0.266518, 9.61121e-06, 697.877, 0.00747752, -207.351, 675.68, 0.0101308, -208.077 
8, 0.0004, 0.923456, -0.267232, 1.24466e-05, 718.449, 0.00968343, -207.907, 689.825, 0.0103086, -208.354 
9, 0.00045, 0.940127, -0.267602, 1.25593e-05, 731.418, 0.00977112, -208.194, 697.003, 0.00977405, -208.71 
10, 0.0005, 0.949198, -0.268063, 1.18846e-05, 738.475, 0.00924622, -208.553, 698.865, 0.00853737, -209.113 
11, 0.00055, 0.952501, -0.26858, 1.01877e-05, 741.046, 0.00792599, -208.955, 696.937, 0.00906694, -209.561 
12, 0.0006, 0.951756, -0.269153, 1.08956e-05, 740.466, 0.00847675, -209.401, 692.515, 0.00867979, -209.915 
13, 0.00065, 0.94844, -0.26961, 1.03904e-05, 737.886, 0.00808373, -209.757, 686.621, 0.00862667, -210.234 
14, 0.0007, 0.943821, -0.270047, 1.07846e-05, 734.292, 0.00839041, -210.097, 679.503, 0.009273, -210.519 
15, 0.00075, 0.937311, -0.270438, 1.22101e-05, 729.227, 0.00949945, -210.401, 671.922, 0.00828526, -210.773 
16, 0.0008, 0.929903, -0.270771, 1.06195e-05, 723.464, 0.00826195, -210.66, 664.213, 0.00645702, -210.893 
17, 0.00085, 0.922098, -0.270897, 7.17873e-06, 717.392, 0.00558505, -210.758, 656.823, 0.00526259, -210.911 
