iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
50, 0.0025, 0.769447, -0.266295, 3.25541e-06, 598.63, 0.00253271, -207.177, 532.455, 0.00113455, -207.359 
51, 0.00255, 0.766567, -0.265978, -1.24907e-08, 596.389, -9.71774e-06, -206.93, 530.188, 0.00225687, -207.134 
52, 0.0026, 0.763781, -0.265678, 1.42448e-06, 594.222, 0.00110824, -206.697, 527.966, 0.00551921, -206.919 
53, 0.00265, 0.761051, -0.265394, 6.52078e-06, 592.097, 0.00507317, -206.477, 525.774, 0.0073892, -206.715 
54, 0.0027, 0.758327, -0.265129, 9.68505e-06, 589.978, 0.00753497, -206.271, 523.59, 0.0068443, -206.514 
55, 0.00275, 0.7556, -0.264875, 8.74495e-06, 587.856, 0.00680357, -206.073, 521.433, 0.00652295, -206.305 
56, 0.0028, 0.752888, -0.264609, 8.25896e-06, 585.747, 0.00642547, -205.866, 519.306, 0.00540744, -206.063 
57, 0.00285, 0.750207, -0.264295, 6.60286e-06, 583.661, 0.00513702, -205.621, 517.223, 0.00416813, -205.801 
58, 0.0029, 0.747577, -0.263948, 4.48811e-06, 581.615, 0.00349175, -205.351, 515.191, 0.00309278, -205.53 
59, 0.00295, 0.745026, -0.263589, 2.40133e-06, 579.63, 0.00186824, -205.072, 513.202, 0.00508253, -205.265 
60, 0.003, 0.742518, -0.263236, 5.23639e-06, 577.679, 0.00407391, -204.798, 511.242, 0.00536, -205.002 
61, 0.00305, 0.740029, -0.262892, 5.90134e-06, 575.742, 0.00459125, -204.53, 509.29, 0.00671817, -204.739 
62, 0.0031, 0.737517, -0.262552, 8.33501e-06, 573.788, 0.00648464, -204.265, 507.345, 0.00694468, -204.477 
63, 0.00315, 0.734997, -0.262217, 9.25436e-06, 571.827, 0.00719989, -204.005, 505.416, 0.00694013, -204.197 
64, 0.0032, 0.732477, -0.261859, 9.07756e-06, 569.867, 0.00706234, -203.727, 503.497, 0.00564972, -203.885 
65, 0.00325, 0.72996, -0.261453, 6.76614e-06, 567.909, 0.00526406, -203.41, 501.607, 0.00468969, -203.546 
66, 0.0033, 0.72747, -0.261008, 4.81119e-06, 565.971, 0.00374311, -203.064, 499.749, 0.00431559, -203.195 
67, 0.00335, 0.725026, -0.260544, 3.85602e-06, 564.07, 0.00299998, -202.703, 497.916, 0.00430923, -202.837 
